,Title,Directors,Actors,Roles
1500,Inception,Christopher Nolan,Nicolas Clerc,Bridge Sub Con
1501,Inception,Christopher Nolan,Silvie Laguna,Bridge Sub Con
1502,Inception,Christopher Nolan,Jean-Michel Dagory,Bridge Sub Con
1503,Inception,Christopher Nolan,Mark Fleischmann,Penrose Sub Con
1504,Inception,Christopher Nolan,Adam Cole,Bar Sub Con
1505,Inception,Christopher Nolan,Kraig Thornber,Bar Sub Con
1506,Inception,Christopher Nolan,Natasha Beaumont,Bar Sub Con
1507,Inception,Christopher Nolan,Carl Gilliard,Lobby Sub Con
1508,Inception,Christopher Nolan,Alex Lombard,Lobby Sub Con
1509,Inception,Christopher Nolan,Peter Basham,Fischer's Jet Captain
1510,Inception,Christopher Nolan,Felix Scott,Businessman
1511,Inception,Christopher Nolan,Lisa Reynolds,Private Nurse
1512,Inception,Christopher Nolan,Jack Gilroy,Old Cobb
1513,Inception,Christopher Nolan,Ken Bhan,"Mombasan Gambler 
  
  
  (uncredited)"
1514,Inception,Christopher Nolan,Hélène Cardona,"French Student 
  
  
  (voice) (uncredited)"
1515,Inception,Christopher Nolan,Gregg Christie,"Stock Broker 
  
  
  (uncredited)"
1516,Inception,Christopher Nolan,James Currie,"Lawyer 
  
  
  (uncredited)"
1517,Inception,Christopher Nolan,Julie Eagleton,"Stockbroker 
  
  
  (uncredited)"
1518,Inception,Christopher Nolan,Marcus Everett,"Stock Broker 
  
  
  (uncredited)"
1519,Inception,Christopher Nolan,Daniel Girondeaud,"Bridge Sub Con 
  
  
  (uncredited)"
1520,Inception,Christopher Nolan,Allan Hale,"Immigration Officer 
  
  
  (uncredited)"
1521,Inception,Christopher Nolan,Guy Iannacone,"Airport Patron 
  
  
  (uncredited)"
1522,Inception,Christopher Nolan,Charles Jarrell,"Hotel Guest 
  
  
  (uncredited)"
1523,Inception,Christopher Nolan,Alonzo F. Jones,"Mombasan Casino Staff 
  
  
  (uncredited)"
1524,Inception,Christopher Nolan,Shunsaku Kudô,"Saito's Bodyguard Officer 
  
  
  (uncredited)"
1525,Inception,Christopher Nolan,John Lawson,"Street Person 
  
  
  (uncredited)"
1526,Inception,Christopher Nolan,Sanket Mhatre,"Arthur 
  
  
  (uncredited)"
1527,Inception,Christopher Nolan,François-Marie Nivon,"A Passer-By 
  
  
  (uncredited)"
1528,Inception,Christopher Nolan,Benjamin Riley,"Bridge Sub Con 
  
  
  (uncredited)"
1529,Inception,Christopher Nolan,Colin Smith,"Airport Patron 
  
  
  (uncredited)"
1530,Inception,Christopher Nolan,Matt Vogel,"Zeke - Pedestrian 
  
  
  (uncredited)"
1531,The Gentlemen,Guy Ritchie,Matthew McConaughey,Michael Pearson
1532,The Gentlemen,Guy Ritchie,Michelle Dockery,Rosalind Pearson
1533,The Gentlemen,Guy Ritchie,Lyne Renée,Jackie
1534,The Gentlemen,Guy Ritchie,Henry Golding,Dry Eye
1535,The Gentlemen,Guy Ritchie,Chidi Ajufo,Bunny
1536,The Gentlemen,Guy Ritchie,Simon R. Barker,"Frazier 
  
  
  (as Simon Barker)"
1537,The Gentlemen,Guy Ritchie,Jason Wong,Phuc
1538,The Gentlemen,Guy Ritchie,Jordan Long,Barman
1539,The Gentlemen,Guy Ritchie,Gershwyn Eustache Jnr,Roger
1540,The Gentlemen,Guy Ritchie,Geraldine Somerville,Lady Pressfield
1541,The Gentlemen,Guy Ritchie,Franz Drameh,Benny
1542,The Gentlemen,Guy Ritchie,James Warren,Jim
1543,The Gentlemen,Guy Ritchie,Bugzy Malone,Ernie
1544,The Gentlemen,Guy Ritchie,Danny Griffin,Aslan
1545,The Gentlemen,Guy Ritchie,Eugenia Kuzmina,Misha
1546,The Gentlemen,Guy Ritchie,Ashley McGuire,Maureen
1547,The Gentlemen,Guy Ritchie,Shanu Hazzan,Trigger
1548,The Gentlemen,Guy Ritchie,Sammy Williams,Kid
1549,The Gentlemen,Guy Ritchie,Guy List,Security Guard Guy
1550,The Gentlemen,Guy Ritchie,Will Mackay,"Security Guard Frank 
  
  
  (as Will MacKay)"
1551,The Gentlemen,Guy Ritchie,Jason Hunjan,Security Guard Tezza
1552,The Gentlemen,Guy Ritchie,Russell Balogh,Russ
1553,The Gentlemen,Guy Ritchie,Jack O'Connor,Youth 1
1554,The Gentlemen,Guy Ritchie,Isaiah Zev,Youth 3
1555,The Gentlemen,Guy Ritchie,Tom Lambert,Young Mickey
1556,The Gentlemen,Guy Ritchie,Mark Rathbone,Aslan's Father
1557,The Gentlemen,Guy Ritchie,Andrew Greenough,Movie Producer
1558,The Gentlemen,Guy Ritchie,Dominic Gibbs,Chasa
1559,The Gentlemen,Guy Ritchie,Simon Adkins,"Annabel's Waiter 
  
  
  (uncredited)"
1560,The Gentlemen,Guy Ritchie,Brittany Ashworth,"Ruby 
  
  
  (uncredited)"
1561,The Gentlemen,Guy Ritchie,Alex Batareanu,"Gangster 
  
  
  (uncredited)"
1562,The Gentlemen,Guy Ritchie,Mike Bodnar,"Rambler 
  
  
  (uncredited)"
1563,The Gentlemen,Guy Ritchie,Troy Dixon,"Mickey's Oxford Uni Pal 
  
  
  (uncredited)"
1564,The Gentlemen,Guy Ritchie,Nicholle Hembra,"College Student 
  
  
  (uncredited)"
1565,The Gentlemen,Guy Ritchie,Eugene Lin,"Chinese Heroin Lab Worker 
  
  
  (uncredited)"
1566,The Gentlemen,Guy Ritchie,Guy Ritchie,"Mirimax Studio Executive 
  
  
  (uncredited)"
1567,The Gentlemen,Guy Ritchie,Tom Sandell,"Big Dave 
  
  
  (uncredited)"
1568,The Gentlemen,Guy Ritchie,Jon Xue Zhang,"Fat Tony 
  
  
  (uncredited)"
1569,The Gentlemen,Guy Ritchie,Charlie Hunnam,Ray
1570,The Gentlemen,Guy Ritchie,Jeremy Strong,Matthew
1571,The Gentlemen,Guy Ritchie,Colin Farrell,Coach
1572,The Gentlemen,Guy Ritchie,Tom Wu,Lord George
1573,The Gentlemen,Guy Ritchie,Hugh Grant,Fletcher
1574,The Gentlemen,Guy Ritchie,Eddie Marsan,Big Dave
1575,The Gentlemen,Guy Ritchie,John Dagleish,Hammy
1576,The Gentlemen,Guy Ritchie,Lily Frazer,Lisa the Mechanic
1577,The Gentlemen,Guy Ritchie,Samuel West,Lord Pressfield
1578,The Gentlemen,Guy Ritchie,Eliot Sumner,Laura Pressfield
1579,The Gentlemen,Guy Ritchie,Christopher Evangelou,Primetime
1580,The Gentlemen,Guy Ritchie,Sean Sagar,Mal
1581,The Gentlemen,Guy Ritchie,Tom Rhys Harries,Power Noel
1582,The Gentlemen,Guy Ritchie,Max Bennett,Brown
1583,The Gentlemen,Guy Ritchie,Bruce Chong,Ngoc
1584,The Gentlemen,Guy Ritchie,George Asprey,Lord Snowball
1585,The Gentlemen,Guy Ritchie,Jack Jones,Nick
1586,The Gentlemen,Guy Ritchie,Ryan Dean,Murka
1587,The Gentlemen,Guy Ritchie,Marvin Campbell,Security Guard Marv
1588,The Gentlemen,Guy Ritchie,Matt Sherren,Security Guard John
1589,The Gentlemen,Guy Ritchie,Maurice Lee,Security Guard Mo
1590,The Gentlemen,Guy Ritchie,Togo Igawa,Wang Yong
1591,The Gentlemen,Guy Ritchie,McKell David,Youth 2
1592,The Gentlemen,Guy Ritchie,David Garrick,Dave
1593,The Gentlemen,Guy Ritchie,Andy Cheung,Chinese Waiter
1594,The Gentlemen,Guy Ritchie,Ned Campbell,Dope Buyer
1595,The Gentlemen,Guy Ritchie,Timothy Siddall,Mike
1596,The Gentlemen,Guy Ritchie,Chloe Arrowsmith,"Mechanic 
  
  
  (uncredited)"
1597,The Gentlemen,Guy Ritchie,Steve Barnett,"Fishmonger 
  
  
  (uncredited)"
1598,The Gentlemen,Guy Ritchie,Elle Black,"Mechanic 
  
  
  (uncredited)"
1599,The Gentlemen,Guy Ritchie,Luca De Massis,"GunMan 
  
  
  (uncredited)"
1600,The Gentlemen,Guy Ritchie,Amor Evans,"Hot Mechanic 
  
  
  (uncredited)"
1601,The Gentlemen,Guy Ritchie,Oleg Hill,"Russian Killer 
  
  
  (uncredited)"
1602,The Gentlemen,Guy Ritchie,Jason Lines,"Toff 
  
  
  (uncredited)"
1603,The Gentlemen,Guy Ritchie,Rubens Saboia,"Hot Mechanic 
  
  
  (uncredited)"
1604,The Gentlemen,Guy Ritchie,Steve Saunders,"Rambler 
  
  
  (uncredited)"
1605,The Princess Bride,Rob Reiner,Cary Elwes,Westley
1606,The Princess Bride,Rob Reiner,Chris Sarandon,Prince Humperdinck
1607,The Princess Bride,Rob Reiner,Wallace Shawn,Vizzini
1608,The Princess Bride,Rob Reiner,Fred Savage,The Grandson
1609,The Princess Bride,Rob Reiner,Peter Falk,The Grandfather
1610,The Princess Bride,Rob Reiner,Mel Smith,The Albino
1611,The Princess Bride,Rob Reiner,Billy Crystal,Miracle Max
1612,The Princess Bride,Rob Reiner,Margery Mason,The Ancient Booer
1613,The Princess Bride,Rob Reiner,Willoughby Gray,The King
1614,The Princess Bride,Rob Reiner,Paul Badger,The Assistant Brute
1615,The Princess Bride,Rob Reiner,Danny Blackner,"Rodent Of Unusual Size 
  
  
  (uncredited)"
1616,The Princess Bride,Rob Reiner,Sallie McLaughlin,(uncredited)
1617,The Princess Bride,Rob Reiner,Mandy Patinkin,Iñigo Montoya
1618,The Princess Bride,Rob Reiner,Christopher Guest,Count Rugen
1619,The Princess Bride,Rob Reiner,André René Roussimoff,"Fezzik 
  
  
  (as Andre the Giant)"
1620,The Princess Bride,Rob Reiner,Robin Wright,The Princess Bride
1621,The Princess Bride,Rob Reiner,Peter Cook,The Impressive Clergyman
1622,The Princess Bride,Rob Reiner,Carol Kane,Valerie
1623,The Princess Bride,Rob Reiner,Anne Dyson,The Queen
1624,The Princess Bride,Rob Reiner,Malcolm Storry,Yellin
1625,The Princess Bride,Rob Reiner,Betsy Brantley,The Mother
1626,The Princess Bride,Rob Reiner,Anthony Georghiou,"Rodent Of Unusual Size 
  
  
  (uncredited)"
1627,The Princess Bride,Rob Reiner,Derek Pykett,"Villager 
  
  
  (uncredited)"
1628,Goodfellas,Martin Scorsese,Robert De Niro,James Conway
1629,Goodfellas,Martin Scorsese,Joe Pesci,Tommy DeVito
1630,Goodfellas,Martin Scorsese,Paul Sorvino,Paul Cicero
1631,Goodfellas,Martin Scorsese,Tony Darrow,Sonny Bunz
1632,Goodfellas,Martin Scorsese,Frank Vincent,Billy Batts
1633,Goodfellas,Martin Scorsese,Frank DiLeo,Tuddy Cicero
1634,Goodfellas,Martin Scorsese,Gina Mastrogiacomo,Janice Rossi
1635,Goodfellas,Martin Scorsese,Charles Scorsese,Vinnie
1636,Goodfellas,Martin Scorsese,Debi Mazar,Sandy
1637,Goodfellas,Martin Scorsese,Welker White,Lois Byrd
1638,Goodfellas,Martin Scorsese,Julie Garfield,Mickey Conway
1639,Goodfellas,Martin Scorsese,Elaine Kagan,Henry's Mother
1640,Goodfellas,Martin Scorsese,Kevin Corrigan,Michael Hill
1641,Goodfellas,Martin Scorsese,Robbie Vinton,Bobby Vinton
1642,Goodfellas,Martin Scorsese,Daniel P. Conte,Dr. Dan
1643,Goodfellas,Martin Scorsese,Frank Pellegrino,Johnny Dio
1644,Goodfellas,Martin Scorsese,Tony Sirico,Tony Stacks
1645,Goodfellas,Martin Scorsese,Steve Forleo,City Detective #1
1646,Goodfellas,Martin Scorsese,Frank Adonis,Anthony Stabile
1647,Goodfellas,Martin Scorsese,Joseph Bono,Mikey Franzese
1648,Goodfellas,Martin Scorsese,Mark Jacobs,"Bruce 
  
  
  (as Mark Evan Jacobs)"
1649,Goodfellas,Martin Scorsese,Marianne Leone,Tuddy's Wife
1650,Goodfellas,Martin Scorsese,LoNardo,"Frenchy's Wife 
  
  
  (as Lo Nardo)"
1651,Goodfellas,Martin Scorsese,Illeana Douglas,Rosie
1652,Goodfellas,Martin Scorsese,Elizabeth Whitcraft,Tommy's Girlfriend at Copa
1653,Goodfellas,Martin Scorsese,Samuel L. Jackson,Stacks Edwards
1654,Goodfellas,Martin Scorsese,Paul Herman,Dealer
1655,Goodfellas,Martin Scorsese,Edward Hayes,Defense Attorney
1656,Goodfellas,Martin Scorsese,Gina Mattia,Young Henry's Sister #2
1657,Goodfellas,Martin Scorsese,Anthony Valentin,Young Michael
1658,Goodfellas,Martin Scorsese,Michael Citriniti,Liquor Cop #2
1659,Goodfellas,Martin Scorsese,Erasmus C. Alfano,Barbeque Wiseguy
1660,Goodfellas,Martin Scorsese,Manny Alfaro,Gambling Doorman
1661,Goodfellas,Martin Scorsese,Margaret Smith,School Guard
1662,Goodfellas,Martin Scorsese,Frank Albanese,Mob Lawyer
1663,Goodfellas,Martin Scorsese,Bob Golub,Truck Driver at Diner
1664,Goodfellas,Martin Scorsese,Tony Lip,Frankie The Wop
1665,Goodfellas,Martin Scorsese,Peter Cicale,Pete The Killer
1666,Goodfellas,Martin Scorsese,Vincent Pastore,"Man with Coatrack 
  
  
  (as Vinny Pastore)"
1667,Goodfellas,Martin Scorsese,Victor Colicchio,Henry's 60's Crew
1668,Goodfellas,Martin Scorsese,Philip Suriano,Cicero's 60's crew
1669,Goodfellas,Martin Scorsese,Norman Barbera,Gino the Bouncer
1670,Goodfellas,Martin Scorsese,James Quattrochi,Henry Greeter #1
1671,Goodfellas,Martin Scorsese,Dino Laudicina,Henry Greeter #3
1672,Goodfellas,Martin Scorsese,Andrew Scudiero,Mr. Tony Hood #2
1673,Goodfellas,Martin Scorsese,Jesse Kirtzman,Beach Club Waiter
1674,Goodfellas,Martin Scorsese,Spencer Bradley,Bruce's Brother #2
1675,Goodfellas,Martin Scorsese,Joanna Bennett,Marie #1
1676,Goodfellas,Martin Scorsese,Gaetano Lisi,Paul #3
1677,Goodfellas,Martin Scorsese,Ed Deacy,Detective Deacy
1678,Goodfellas,Martin Scorsese,John 'Cha Cha' Ciarcia,"Batts' Crew #1 
  
  
  (as Johnny Cha Cha Ciarcia)"
1679,Goodfellas,Martin Scorsese,Janis Corsair,Vito's Girlfriend
1680,Goodfellas,Martin Scorsese,Lisa D'Apolito,"Lisa 
  
  
  (as Lisa Dapolito)"
1681,Goodfellas,Martin Scorsese,Vito Antuofermo,Prizefighter
1682,Goodfellas,Martin Scorsese,Peter Fain,Henry's 70's Crew
1683,Goodfellas,Martin Scorsese,Gaetano LoGiudice,Henry's 70's Crew
1684,Goodfellas,Martin Scorsese,Nicole Burdette,Carbone's Girlfriend
1685,Goodfellas,Martin Scorsese,Dominique DeVito,"Henry's Baby - Ruth 
  
  
  (as Dominque DeVito)"
1686,Goodfellas,Martin Scorsese,Paula Kcira,"Janice's Girlfriend #1 
  
  
  (as Paula Gallo)"
1687,Goodfellas,Martin Scorsese,Tony Ellis,Bridal Shop Owner
1688,Goodfellas,Martin Scorsese,Jamie De Roy,"Bookie's Sister 
  
  
  (as Jamie DeRoy)"
1689,Goodfellas,Martin Scorsese,H. Clay Dear,Security Guard with Lobsters
1690,Goodfellas,Martin Scorsese,Gene Canfield,Prison Guard in Booth
1691,Goodfellas,Martin Scorsese,Violet Gaynor,Ruth Hill at 8 Years
1692,Goodfellas,Martin Scorsese,Berlinda Tolbert,Stacks' Girlfriend
1693,Goodfellas,Martin Scorsese,Adam Wandt,Kid
1694,Goodfellas,Martin Scorsese,Isiah Whitlock Jr.,Doctor
1695,Goodfellas,Martin Scorsese,Ruby Gaynor,Ruth Hill at 11 Years
1696,Goodfellas,Martin Scorsese,Steve Baker,"Waiter 
  
  
  (uncredited)"
1697,Goodfellas,Martin Scorsese,Linda Carola,"Gangster's Girlfriend 
  
  
  (uncredited)"
1698,Goodfellas,Martin Scorsese,Frank Cassini,"Young Wiseguy 
  
  
  (uncredited)"
1699,Goodfellas,Martin Scorsese,Doug Ferony,"Anthony 
  
  
  (uncredited)"
1700,Goodfellas,Martin Scorsese,George Gerard,"Contruction Worker 
  
  
  (uncredited)"
1701,Goodfellas,Martin Scorsese,Richard Goteri,"Cicero's '60s Crew 
  
  
  (uncredited)"
1702,Goodfellas,Martin Scorsese,Al Jolson,"Jakie Rabinowitz 
  
  
  (uncredited)"
1703,Goodfellas,Martin Scorsese,Anibal O. Lleras,"Fellas Chauffer 
  
  
  (uncredited)"
1704,Goodfellas,Martin Scorsese,Charles Pendelton,"Resturante Mob Onlooker 
  
  
  (uncredited)"
1705,Goodfellas,Martin Scorsese,Jeffrey Rollins,"Courtroom Defendant 
  
  
  (uncredited)"
1706,Goodfellas,Martin Scorsese,Randy Schein,"Tennis Pro 
  
  
  (uncredited)"
1707,Goodfellas,Martin Scorsese,Jill Senter,"Woman in Bar 
  
  
  (uncredited)"
1708,Goodfellas,Martin Scorsese,Drew Stanley,"Wedding Photographer 
  
  
  (uncredited)"
1709,Goodfellas,Martin Scorsese,Billy L. Sullivan,"Jimmy's Son 
  
  
  (uncredited)"
1710,Goodfellas,Martin Scorsese,Ray Liotta,Henry Hill
1711,Goodfellas,Martin Scorsese,Lorraine Bracco,Karen Hill
1712,Goodfellas,Martin Scorsese,Frank Sivero,Frankie Carbone
1713,Goodfellas,Martin Scorsese,Mike Starr,Frenchy
1714,Goodfellas,Martin Scorsese,Chuck Low,Morris Kessler
1715,Goodfellas,Martin Scorsese,Henny Youngman,Henny Youngman
1716,Goodfellas,Martin Scorsese,Catherine Scorsese,Tommy's Mother
1717,Goodfellas,Martin Scorsese,Suzanne Shepherd,Karen's Mother
1718,Goodfellas,Martin Scorsese,Margo Winkler,Belle Kessler
1719,Goodfellas,Martin Scorsese,Jerry Vale,Jerry Vale
1720,Goodfellas,Martin Scorsese,Christopher Serrone,Young Henry
1721,Goodfellas,Martin Scorsese,Beau Starr,Henry's Father
1722,Goodfellas,Martin Scorsese,Michael Imperioli,Spider
1723,Goodfellas,Martin Scorsese,Johnny Williams,"Johnny Roastbeef 
  
  
  (as John Williams)"
1724,Goodfellas,Martin Scorsese,Tony Conforti,Tony
1725,Goodfellas,Martin Scorsese,Ronald Maccone,Ronnie
1726,Goodfellas,Martin Scorsese,Joseph D'Onofrio,Young Tommy
1727,Goodfellas,Martin Scorsese,Richard Dioguardi,City Detective #2
1728,Goodfellas,Martin Scorsese,John Manca,Nickey Eyes
1729,Goodfellas,Martin Scorsese,Katherine Wallach,Diane
1730,Goodfellas,Martin Scorsese,Angela Pietropinto,Cicero's Wife
1731,Goodfellas,Martin Scorsese,Marie Michaels,Mrs. Carbone
1732,Goodfellas,Martin Scorsese,Melissa Prophet,Angie
1733,Goodfellas,Martin Scorsese,Susan Varon,Susan
1734,Goodfellas,Martin Scorsese,Clem Caserta,Joe Buddha
1735,Goodfellas,Martin Scorsese,Fran McGee,Johnny Roastbeef's Wife
1736,Goodfellas,Martin Scorsese,Edward McDonald,Edward McDonald
1737,Goodfellas,Martin Scorsese,Daniela Barbosa,Young Henry's Sister #1
1738,Goodfellas,Martin Scorsese,Joel Calendrillo,Young Henry's Older Brother
1739,Goodfellas,Martin Scorsese,Edward D. Murphy,Liquor Cop #1
1740,Goodfellas,Martin Scorsese,Peter Hock,Mailman
1741,Goodfellas,Martin Scorsese,John Di Benedetto,"Bleeding Man 
  
  
  (as John DiBenedetto)"
1742,Goodfellas,Martin Scorsese,Thomas Lowry,Hijacked Driver
1743,Goodfellas,Martin Scorsese,Richard Mullally,Cop #1
1744,Goodfellas,Martin Scorsese,Paul McIsaac,Judge - 1956
1745,Goodfellas,Martin Scorsese,Louis Eppolito,Fat Andy
1746,Goodfellas,Martin Scorsese,Mikey Black,Freddy No Nose
1747,Goodfellas,Martin Scorsese,Anthony Powers,Jimmy Two Times
1748,Goodfellas,Martin Scorsese,Anthony Alessandro,Henry's 60's Crew
1749,Goodfellas,Martin Scorsese,Mike Contessa,Cicero's 60's Crew
1750,Goodfellas,Martin Scorsese,Paul Mougey,Terrorized Waiter
1751,Goodfellas,Martin Scorsese,Anthony Polemeni,Copa Captain
1752,Goodfellas,Martin Scorsese,Lawrence Sacco,Henry Greeter #2
1753,Goodfellas,Martin Scorsese,Thomas E. Camuti,Mr. Tony Hood #1
1754,Goodfellas,Martin Scorsese,Irving Welzer,Copa Announcer
1755,Goodfellas,Martin Scorsese,Russell Halley,Bruce's Brother #1
1756,Goodfellas,Martin Scorsese,Bob Altman,Karen's Dad
1757,Goodfellas,Martin Scorsese,Gayle Lewis,Marie #2
1758,Goodfellas,Martin Scorsese,Luke Walter,Truck Driver
1759,Goodfellas,Martin Scorsese,Larry Silvestri,Detective Silvestri
1760,Goodfellas,Martin Scorsese,Vito Picone,Vito
1761,Goodfellas,Martin Scorsese,Frank Aquilino,Batts' Crew #2
1762,Goodfellas,Martin Scorsese,Michael Calandrino,Godfather at Table
1763,Goodfellas,Martin Scorsese,Vito Balsamo,Henry's 70's Crew
1764,Goodfellas,Martin Scorsese,Vincent Gallo,"Henry's 70's Crew 
  
  
  (as Vinnie Gallo)"
1765,Goodfellas,Martin Scorsese,Garry Pastore,"Henry's 70's Crew 
  
  
  (as Garry Blackwood)"
1766,Goodfellas,Martin Scorsese,Stella Keitel,"Henry's Older Child - Judy 
  
  
  (as Stella Kietel)"
1767,Goodfellas,Martin Scorsese,Michaelangelo Graziano,Bar Patron
1768,Goodfellas,Martin Scorsese,Nadine Kay,Janice's Girlfriend #2
1769,Goodfellas,Martin Scorsese,Peter Onorati,Florida Bookie
1770,Goodfellas,Martin Scorsese,Joel Blake,Judge - 1971
1771,Goodfellas,Martin Scorsese,Thomas Hewson,Drug Buyer
1772,Goodfellas,Martin Scorsese,Margaux Guerard,Judy Hill at 10 Years
1773,Goodfellas,Martin Scorsese,Tobin Bell,Parole Officer
1774,Goodfellas,Martin Scorsese,Nancy Cassaro,"Joe Buddha's Wife 
  
  
  (as Nancy Ellen Cassaro)"
1775,Goodfellas,Martin Scorsese,Joe Gioco,"Garbage Man 
  
  
  (as Joseph P. Gioco)"
1776,Goodfellas,Martin Scorsese,Alyson Jones,Judy Hill at 13 Years
1777,Goodfellas,Martin Scorsese,Bo Dietl,"Arresting Narc 
  
  
  (as Richard 'Bo' Dietl)"
1778,Goodfellas,Martin Scorsese,Lisa Bostnar,"Nicky Eyes' Girlfriend 
  
  
  (uncredited)"
1779,Goodfellas,Martin Scorsese,Anthony Caso,"Truck Hijacker 
  
  
  (uncredited)"
1780,Goodfellas,Martin Scorsese,Joe Chiaramonte,"Lawyer 
  
  
  (uncredited)"
1781,Goodfellas,Martin Scorsese,Frank Ferruccio,"Detective 
  
  
  (uncredited)"
1782,Goodfellas,Martin Scorsese,Matthew T. Gitkin,"Warehouse Worker 
  
  
  (uncredited)"
1783,Goodfellas,Martin Scorsese,Debbee Hinchcliffe,"Jimmy's Date 
  
  
  (uncredited)"
1784,Goodfellas,Martin Scorsese,Diane Kimbrell,"Commuter 
  
  
  (uncredited)"
1785,Goodfellas,Martin Scorsese,Joseph Oliveira,"Marciano 
  
  
  (uncredited)"
1786,Goodfellas,Martin Scorsese,Louis Perez,"Frankie 
  
  
  (uncredited)"
1787,Goodfellas,Martin Scorsese,Colette Savage,"Mrs. Johnson - Tennis Spectator 
  
  
  (uncredited)"
1788,Goodfellas,Martin Scorsese,Robert Sedona,"Restaurant Customer 
  
  
  (uncredited)"
1789,Goodfellas,Martin Scorsese,Barry Squitieri,"Wiseguy 
  
  
  (uncredited)"
1790,Goodfellas,Martin Scorsese,Frank Stellato,"1956 Court Stenographer 
  
  
  (uncredited)"
1791,Goodfellas,Martin Scorsese,Nick Vallelonga,"Prison Inmate Sitting Behind Henry 
  
  
  (uncredited)"
1792,Eyes Wide Shut,Stanley Kubrick,Tom Cruise,Dr. William Harford
1793,Eyes Wide Shut,Stanley Kubrick,Madison Eginton,Helena Harford
1794,Eyes Wide Shut,Stanley Kubrick,Sydney Pollack,Victor Ziegler
1795,Eyes Wide Shut,Stanley Kubrick,Peter Hans Benson,"Bandleader 
  
  
  (as Peter Benson)"
1796,Eyes Wide Shut,Stanley Kubrick,Michael Doven,Ziegler's Secretary
1797,Eyes Wide Shut,Stanley Kubrick,Louise J. Taylor,"Gayle 
  
  
  (as Louise Taylor)"
1798,Eyes Wide Shut,Stanley Kubrick,Randall Paul,Harris
1799,Eyes Wide Shut,Stanley Kubrick,Lisa Leone,Lisa
1800,Eyes Wide Shut,Stanley Kubrick,Marie Richardson,Marion
1801,Eyes Wide Shut,Stanley Kubrick,Mariana Hewett,Rosa
1802,Eyes Wide Shut,Stanley Kubrick,Gavin Parry,"Rowdy College Kid 
  
  
  (as Gavin Perry)"
1803,Eyes Wide Shut,Stanley Kubrick,Adam Lias,Rowdy College Kid
1804,Eyes Wide Shut,Stanley Kubrick,Kyle Whitcombe,Rowdy College Kid
1805,Eyes Wide Shut,Stanley Kubrick,Vinessa Shaw,Domino
1806,Eyes Wide Shut,Stanley Kubrick,Rade Serbedzija,"Milich 
  
  
  (as Rade Sherbedgia)"
1807,Eyes Wide Shut,Stanley Kubrick,Eiji Kusuhara,Japanese Man #2
1808,Eyes Wide Shut,Stanley Kubrick,Sam Douglas,Cab Driver
1809,Eyes Wide Shut,Stanley Kubrick,Abigail Good,"Mysterious Woman /  
            Masked Party Principal"
1810,Eyes Wide Shut,Stanley Kubrick,Leon Vitali,Red Cloak
1811,Eyes Wide Shut,Stanley Kubrick,Alan Cumming,Desk Clerk
1812,Eyes Wide Shut,Stanley Kubrick,Phil Davies,Stalker
1813,Eyes Wide Shut,Stanley Kubrick,Clark Hayes,Hospital Receptionist
1814,Eyes Wide Shut,Stanley Kubrick,Colin Angus,Masked Party Principal
1815,Eyes Wide Shut,Stanley Kubrick,Kate Charman,"Masked Party Principal 
  
  
  (as Kathryn Charman)"
1816,Eyes Wide Shut,Stanley Kubrick,Tony DeSergio,"Masked Party Principal 
  
  
  (as Anthony Desergio)"
1817,Eyes Wide Shut,Stanley Kubrick,Laura Fallace,Masked Party Principal
1818,Eyes Wide Shut,Stanley Kubrick,Georgina Finch,Masked Party Principal
1819,Eyes Wide Shut,Stanley Kubrick,Joanna Heath,Masked Party Principal
1820,Eyes Wide Shut,Stanley Kubrick,Ateeka Poole,Masked Party Principal
1821,Eyes Wide Shut,Stanley Kubrick,Sharon Quinn,Masked Party Principal
1822,Eyes Wide Shut,Stanley Kubrick,Emma Lou Sharratt,Masked Party Principal
1823,Eyes Wide Shut,Stanley Kubrick,Matthew Thompson,Masked Party Principal
1824,Eyes Wide Shut,Stanley Kubrick,Russell Trigg,Masked Party Principal
1825,Eyes Wide Shut,Stanley Kubrick,Jerson David Ambion,"Masked Party Principal 
  
  
  (uncredited)"
1826,Eyes Wide Shut,Stanley Kubrick,Cate Blanchett,"Mysterious Woman 
  
  
  (voice) (uncredited)"
1827,Eyes Wide Shut,Stanley Kubrick,Emilio D'Alessandro,"Man at Newsstand 
  
  
  (uncredited)"
1828,Eyes Wide Shut,Stanley Kubrick,Paul Desbois,"Ballroom Dancer 
  
  
  (uncredited)"
1829,Eyes Wide Shut,Stanley Kubrick,Tres Hanley,"Coffee Shop Manager 
  
  
  (uncredited)"
1830,Eyes Wide Shut,Stanley Kubrick,Alex Hobbs,"Boy in Examination Room 
  
  
  (uncredited)"
1831,Eyes Wide Shut,Stanley Kubrick,Christiane Kubrick,"Woman Sitting Behind Dr. Harford at Café Sonata 
  
  
  (uncredited)"
1832,Eyes Wide Shut,Stanley Kubrick,Robin J. Meyer,"Hula Dancer 
  
  
  (uncredited)"
1833,Eyes Wide Shut,Stanley Kubrick,Graham Skidmore,"Background Artist 
  
  
  (uncredited)"
1834,Eyes Wide Shut,Stanley Kubrick,Nicole Kidman,Alice Harford
1835,Eyes Wide Shut,Stanley Kubrick,Jackie Sawiris,Roz
1836,Eyes Wide Shut,Stanley Kubrick,Leslie Lowe,Illona
